,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,111249.11,368291.81,13083.78,13518.26,222406.38,30734.96,163729.15,561794.3,599203.85,219170.57,297121.57,434207.15,295160.84,293213.61,118474.38,336078.62,224001.54,525415.23,398110.67,72362.34,601672.09,63526.08,597432.66,184962.44,389199.81,246878.58,379647.96,12129.58,224852.12,181332.21,422640.89,88005.21,336202.14,101286.63,218971.34,478072.56,121260.95,123327.6,183343.99,286330.79,167112.69,150044.87,208222.07,177946.75,199761.84,209791.5,418127.7,175091.79,232256.17,128517.38,594659.02,212917.98,364725.16,215495.37,328355.76,107716.43,264481.13,582176.78,86566.66,434113.65,131190.2,333019.01,143019.74,97815.48,453663.06,366152.36,300588.31,214988.15,396642.14,145371.64,268623.53,321702.82,177422.07,85556.72,497111.66,289266.02,343532.18,304385.37,327426.97,161096.82,359372.37,181674.59,612499.03,317564.01,296244.13,457634.53,181215.77,205114.7,385744.98,58807.63,449356.88,162945.0,221322.29,306597.71,12197.61,228876.58,215971.79,203216.13,414721.29
1,111249.11,0.0,425691.64,88312.17,79441.13,108497.33,59783.77,98827.19,600023.09,553095.39,114107.28,359648.68,493501.35,446202.58,298608.78,181202.66,387123.64,109744.16,614514.96,447190.03,36487.03,550117.79,39999.58,550242.66,252102.72,438558.57,303345.74,428649.82,131966.97,118761.47,65159.53,484079.87,231452.03,413102.57,253756.45,107185.47,567347.02,8356.4,28512.77,216289.11,443473.15,53479.41,28097.69,251437.86,71120.75,101119.61,97342.81,477133.3,77280.08,122748.15,22135.59,546452.54,272520.2,358876.42,103828.83,456772.49,180211.08,343736.15,627411.54,32724.0,493386.73,9157.43,386358.39,15535.94,178051.76,508279.3,417178.23,355057.92,105361.75,571753.44,277645.74,319361.23,376806.37,66027.6,98610.26,553888.91,346666.3,395468.87,358688.04,381549.43,94490.89,411334.48,79402.3,671153.55,376369.11,350976.54,523590.98,75832.98,108840.36,481667.18,197147.73,448750.95,226430.38,112073.71,379672.0,91888.12,117629.59,112416.78,379128.71,466322.49
2,368291.81,425691.64,0.0,398284.59,405491.42,570087.2,403597.54,538907.13,218045.62,238842.37,573359.31,28859.91,57636.46,63617.61,231736.17,248706.52,16948.88,570880.15,201635.05,40864.32,359062.52,240995.09,348467.4,237623.93,148593.02,36124.96,77054.8,42624.85,341839.68,579843.35,523740.26,42786.39,238231.09,16843.15,232814.94,567068.55,170041.09,437750.4,461800.2,181319.3,215463.68,506881.05,481221.16,191105.59,527995.16,554792.33,556525.53,28871.13,528277.6,584786.5,464073.1,234840.41,112492.61,225232.51,563327.48,45653.53,253100.27,67367.73,204330.38,380048.72,56360.67,449617.16,20068.73,466957.16,255827.25,87000.3,23193.52,45292.03,564426.84,201999.3,143918.0,68081.66,17463.65,521450.8,502488.99,105284.41,48754.39,21003.85,43653.1,17446.34,535942.47,18551.58,531712.16,212184.49,26824.65,45952.22,101147.24,529377.52,561281.79,56544.91,258055.18,178124.04,173586.12,573478.5,31557.78,391157.76,578419.91,571501.11,124417.33,28177.77
3,13083.78,88312.17,398284.59,0.0,12449.72,189825.51,15166.89,137720.91,593453.18,628687.7,185767.45,331881.32,465059.7,348867.62,302698.74,138823.93,364046.95,191685.44,568240.37,426526.42,59008.6,631342.41,51744.6,626966.67,221255.53,417365.49,278399.44,407313.77,26944.09,192039.27,149924.62,452809.53,115994.49,379857.69,132755.02,186671.73,517554.25,98099.29,94838.04,205652.24,323231.44,136538.07,121407.9,220860.68,144929.78,166781.45,177506.83,448250.95,142461.74,199212.56,100333.29,624441.43,245725.52,375577.94,183071.47,382540.76,128608.6,299879.77,610896.5,70734.84,464430.09,106968.09,362146.11,116758.66,120974.49,482621.92,394835.34,329468.39,182305.69,444919.79,189692.9,298664.44,350318.36,145969.62,76243.99,527547.37,317955.23,372015.0,333042.28,355786.72,134677.44,387953.36,149432.18,643239.35,348612.86,325362.62,488234.68,149295.38,172576.44,435514.83,84670.75,469512.73,201953.37,188514.03,340798.63,5406.89,196143.65,182692.13,247230.7,444202.56
4,13518.26,79441.13,405491.42,12449.72,0.0,179267.58,16204.1,133770.08,602505.08,636125.6,176150.93,335569.76,471838.98,336527.24,262078.47,134159.43,370677.29,181247.45,568775.99,432590.55,50835.07,639097.17,48510.06,634424.84,219295.83,423781.48,278145.72,413591.68,17825.61,183030.4,139414.64,460679.98,103474.26,380819.07,117058.16,176649.2,519985.95,87802.47,87068.43,192082.45,309194.55,126567.15,110936.45,181709.99,135051.68,157456.41,167498.02,456529.31,133010.21,189498.88,90637.61,632150.77,244594.59,336194.67,173087.87,372522.22,125163.93,296682.75,616574.74,48862.98,471617.74,95428.04,368891.31,105436.38,119709.86,488989.7,401171.44,336436.19,172589.46,428966.75,182400.29,301281.76,356700.63,135913.17,83976.52,535189.0,324810.18,378455.21,340167.49,362091.76,130246.32,394063.75,140225.72,651823.16,353653.7,331803.01,495310.66,139550.28,163753.84,430691.53,73704.63,431302.95,201045.46,179234.87,346265.25,11013.99,185823.64,173207.54,231833.02,451448.63
5,222406.38,108497.33,570087.2,189825.51,179267.58,0.0,171649.71,33428.57,726764.89,652768.42,4256.43,503853.33,637621.57,586395.39,417109.67,322326.17,531413.79,4428.17,755007.22,589585.06,160809.62,649418.14,161715.81,649811.89,395763.29,580956.72,447550.12,570686.83,248063.94,12315.21,21607.7,627358.15,345776.17,556871.79,369644.35,4781.79,705379.8,93123.55,78422.42,360514.95,562042.7,28807.6,39003.63,378114.46,36606.04,21177.29,3632.92,621303.07,39664.5,5897.95,74610.13,645681.17,417749.89,485468.41,4157.05,599372.72,322016.85,483391.49,772225.13,150872.94,636365.95,73005.52,530841.27,53485.99,319138.72,652508.16,562168.42,499458.64,3828.02,706354.19,413180.44,463622.51,520471.57,27073.63,102761.72,699401.5,489890.78,539883.96,502868.83,525320.68,40940.17,556137.34,24866.76,816654.25,519098.07,494946.41,664553.98,27698.48,9367.45,624207.73,311691.23,594486.57,372724.91,6250.62,521314.37,197954.01,2994.33,5517.05,509635.45,610054.2
6,30734.96,59783.77,403597.54,15166.89,16204.1,171649.71,0.0,120513.5,605158.93,635459.3,171936.52,337340.97,471220.02,389108.57,285659.05,144583.02,366679.43,173455.53,585145.36,428556.59,35691.99,638449.54,32645.16,633898.86,234392.74,419563.03,282557.64,410147.01,47166.05,178917.62,129112.12,460421.81,143085.92,389216.86,164523.95,169459.56,534151.11,67734.01,70193.07,199602.4,356069.55,114878.26,95104.22,213073.69,128590.87,153318.48,159407.44,455122.54,128224.52,184161.29,75399.44,631738.98,254661.99,359010.41,165734.56,419890.69,138724.54,309424.7,612178.24,37972.9,470180.83,75890.34,365963.49,86845.86,134701.52,487952.52,397447.55,333542.82,165676.74,487099.76,221017.13,299267.75,354642.84,126237.17,66662.02,534205.06,322954.06,375132.84,337106.01,359583.14,117451.37,391138.49,133282.84,650015.74,352460.22,329348.09,495550.75,131693.8,160856.44,457080.97,109590.0,455575.86,211653.94,173733.31,350302.87,17797.15,178990.57,169840.97,285985.78,448473.86
7,163729.15,98827.19,538907.13,137720.91,133770.08,33428.57,120513.5,0.0,701740.38,708942.74,22903.17,472220.08,606339.37,547798.99,399223.89,291186.48,502023.35,41533.42,717124.91,561595.98,146401.98,709166.27,148371.26,706826.4,367331.21,552531.85,418281.6,542122.43,195013.7,30264.18,29241.96,594610.88,290514.32,523727.23,299361.83,37231.77,665161.61,82655.12,63264.79,334830.29,507023.44,33530.32,43408.57,346732.04,18025.06,13571.95,33830.92,589240.38,15832.9,37721.15,60775.92,703693.11,389109.02,479156.74,35621.65,563930.24,289465.43,449967.82,746288.69,136092.55,605112.29,61579.3,500870.15,46285.0,286245.35,622394.54,533142.66,468818.42,32607.53,656721.26,374144.33,435365.7,489656.64,27795.55,48378.78,668295.07,458113.81,510297.37,472130.83,494943.43,4954.07,526767.86,18490.84,785011.2,488043.27,464374.44,630842.21,22012.56,17610.66,591594.53,259838.08,588545.19,345940.02,32837.03,485586.56,144119.05,39281.96,21747.76,458674.38,580861.65
8,561794.3,600023.09,218045.62,593453.18,602505.08,726764.89,605158.93,701740.38,0.0,59128.49,726826.55,279774.23,122798.49,173168.08,475829.43,456336.3,265004.49,727352.1,39584.71,213484.58,539789.2,66500.71,528240.6,68570.46,388645.01,220465.58,348395.68,225677.08,536338.23,730106.35,684972.54,142903.26,376365.42,218001.9,406738.03,722246.9,58291.46,611018.55,627073.62,432627.97,257359.93,669168.36,649867.17,400723.65,686065.47,709292.99,712996.71,155368.49,684075.0,736000.27,629723.71,59724.62,369886.61,438171.28,718180.57,160694.16,459447.74,271655.35,134227.24,560343.42,114359.53,622468.64,256125.7,639601.31,459597.12,154399.03,231190.37,286480.88,718350.77,148348.16,353367.35,332805.47,269907.75,681317.32,695743.63,108163.17,292568.29,257627.34,282053.68,267936.08,712200.66,240192.19,687745.76,54950.48,262176.09,291445.27,53603.95,686390.86,714110.82,138048.48,448625.43,330553.91,418417.41,724884.99,228819.55,585575.55,732948.84,724349.19,237763.15,181026.13
9,599203.85,553095.39,238842.37,628687.7,636125.6,652768.42,635459.3,708942.74,59128.49,0.0,706118.46,303779.39,168492.13,258055.14,478115.98,482997.87,273807.66,643594.96,125466.53,213658.04,479882.9,8866.27,440274.79,3260.6,411358.54,221181.29,362698.34,229072.9,574419.82,666774.37,592194.28,180608.36,506301.33,256666.87,493077.22,652865.67,165180.83,547031.27,545990.75,450640.47,380111.79,550926.33,547216.88,466721.2,605110.84,715685.07,624318.56,188619.28,577926.35,629105.48,523245.18,5458.45,391110.01,439911.63,617978.79,230628.8,489873.03,327904.84,106991.54,519300.19,171655.17,522989.14,275114.66,538794.12,490072.2,158118.76,245708.79,305869.76,623279.47,231607.56,409138.58,346796.47,284913.9,580113.73,731623.15,128083.24,314946.34,266786.56,301303.27,279963.59,728889.51,252169.39,593213.89,55331.82,285503.65,309871.36,151932.7,584634.78,577329.76,195904.36,528270.95,334628.67,438791.86,645687.46,292643.69,622266.16,647616.87,678810.31,348038.82,195880.12
