,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,111249.11,368291.81,13083.78,13518.26,222406.38,30734.96,163729.15,561794.3,599203.85,219170.57,297121.57,434207.15,295160.84,293213.61,118474.38,336078.62,224001.54,525415.23,398110.67
1,111249.11,0.0,425691.64,88312.17,79441.13,108497.33,59783.77,98827.19,600023.09,553095.39,114107.28,359648.68,493501.35,446202.58,298608.78,181202.66,387123.64,109744.16,614514.96,447190.03
2,368291.81,425691.64,0.0,398284.59,405491.42,570087.2,403597.54,538907.13,218045.62,238842.37,573359.31,28859.91,57636.46,63617.61,231736.17,248706.52,16948.88,570880.15,201635.05,40864.32
3,13083.78,88312.17,398284.59,0.0,12449.72,189825.51,15166.89,137720.91,593453.18,628687.7,185767.45,331881.32,465059.7,348867.62,302698.74,138823.93,364046.95,191685.44,568240.37,426526.42
4,13518.26,79441.13,405491.42,12449.72,0.0,179267.58,16204.1,133770.08,602505.08,636125.6,176150.93,335569.76,471838.98,336527.24,262078.47,134159.43,370677.29,181247.45,568775.99,432590.55
5,222406.38,108497.33,570087.2,189825.51,179267.58,0.0,171649.71,33428.57,726764.89,652768.42,4256.43,503853.33,637621.57,586395.39,417109.67,322326.17,531413.79,4428.17,755007.22,589585.06
6,30734.96,59783.77,403597.54,15166.89,16204.1,171649.71,0.0,120513.5,605158.93,635459.3,171936.52,337340.97,471220.02,389108.57,285659.05,144583.02,366679.43,173455.53,585145.36,428556.59
7,163729.15,98827.19,538907.13,137720.91,133770.08,33428.57,120513.5,0.0,701740.38,708942.74,22903.17,472220.08,606339.37,547798.99,399223.89,291186.48,502023.35,41533.42,717124.91,561595.98
8,561794.3,600023.09,218045.62,593453.18,602505.08,726764.89,605158.93,701740.38,0.0,59128.49,726826.55,279774.23,122798.49,173168.08,475829.43,456336.3,265004.49,727352.1,39584.71,213484.58
9,599203.85,553095.39,238842.37,628687.7,636125.6,652768.42,635459.3,708942.74,59128.49,0.0,706118.46,303779.39,168492.13,258055.14,478115.98,482997.87,273807.66,643594.96,125466.53,213658.04
10,219170.57,114107.28,573359.31,185767.45,176150.93,4256.43,171936.52,22903.17,726826.55,706118.46,0.0,506779.34,640864.24,586395.33,421688.09,325029.7,535023.21,9700.56,755177.1,593044.06
11,297121.57,359648.68,28859.91,331881.32,335569.76,503853.33,337340.97,472220.08,279774.23,303779.39,506779.34,0.0,116717.48,98521.93,205295.01,180016.45,16754.57,504770.72,258354.03,65951.21
12,434207.15,493501.35,57636.46,465059.7,471838.98,637621.57,471220.02,606339.37,122798.49,168492.13,640864.24,116717.48,0.0,93348.01,296649.02,318475.18,83701.53,638420.14,118806.12,37325.13
13,295160.84,446202.58,63617.61,348867.62,336527.24,586395.39,389108.57,547798.99,173168.08,258055.14,586395.33,98521.93,93348.01,0.0,280091.35,251089.73,88712.7,587177.31,132916.33,110669.35
14,293213.61,298608.78,231736.17,302698.74,262078.47,417109.67,285659.05,399223.89,475829.43,478115.98,421688.09,205295.01,296649.02,280091.35,0.0,174050.8,216325.44,419214.04,451072.3,237751.4
15,118474.38,181202.66,248706.52,138823.93,134159.43,322326.17,144583.02,291186.48,456336.3,482997.87,325029.7,180016.45,318475.18,251089.73,174050.8,0.0,211166.75,323440.48,439825.05,269494.4
16,336078.62,387123.64,16948.88,364046.95,370677.29,531413.79,366679.43,502023.35,265004.49,273807.66,535023.21,16754.57,83701.53,88712.7,216325.44,211166.75,0.0,532320.92,252656.1,39961.91
17,224001.54,109744.16,570880.15,191685.44,181247.45,4428.17,173455.53,41533.42,727352.1,643594.96,9700.56,504770.72,638420.14,587177.31,419214.04,323440.48,532320.92,0.0,755903.01,590438.08
18,525415.23,614514.96,201635.05,568240.37,568775.99,755007.22,585145.36,717124.91,39584.71,125466.53,755177.1,258354.03,118806.12,132916.33,451072.3,439825.05,252656.1,755903.01,0.0,209512.6
19,398110.67,447190.03,40864.32,426526.42,432590.55,589585.06,428556.59,561595.98,213484.58,213658.04,593044.06,65951.21,37325.13,110669.35,237751.4,269494.4,39961.91,590438.08,209512.6,0.0
