,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,111249.11,368291.81,13083.78,13518.26,222406.38,30734.96,163729.15,561794.3,599203.85,219170.57,297121.57,434207.15,295160.84,293213.61,118474.38,336078.62,224001.54,525415.23,398110.67,72362.34,601672.09,63526.08,597432.66,184962.44,389199.81,246878.58,379647.96,12129.58,224852.12,181332.21,422640.89,88005.21,336202.14,101286.63,218971.34,478072.56,121260.95,123327.6,183343.99,286330.79,167112.69,150044.87,208222.07,177946.75,199761.84,209791.5,418127.7,175091.79,232256.17
1,111249.11,0.0,425691.64,88312.17,79441.13,108497.33,59783.77,98827.19,600023.09,553095.39,114107.28,359648.68,493501.35,446202.58,298608.78,181202.66,387123.64,109744.16,614514.96,447190.03,36487.03,550117.79,39999.58,550242.66,252102.72,438558.57,303345.74,428649.82,131966.97,118761.47,65159.53,484079.87,231452.03,413102.57,253756.45,107185.47,567347.02,8356.4,28512.77,216289.11,443473.15,53479.41,28097.69,251437.86,71120.75,101119.61,97342.81,477133.3,77280.08,122748.15
2,368291.81,425691.64,0.0,398284.59,405491.42,570087.2,403597.54,538907.13,218045.62,238842.37,573359.31,28859.91,57636.46,63617.61,231736.17,248706.52,16948.88,570880.15,201635.05,40864.32,359062.52,240995.09,348467.4,237623.93,148593.02,36124.96,77054.8,42624.85,341839.68,579843.35,523740.26,42786.39,238231.09,16843.15,232814.94,567068.55,170041.09,437750.4,461800.2,181319.3,215463.68,506881.05,481221.16,191105.59,527995.16,554792.33,556525.53,28871.13,528277.6,584786.5
3,13083.78,88312.17,398284.59,0.0,12449.72,189825.51,15166.89,137720.91,593453.18,628687.7,185767.45,331881.32,465059.7,348867.62,302698.74,138823.93,364046.95,191685.44,568240.37,426526.42,59008.6,631342.41,51744.6,626966.67,221255.53,417365.49,278399.44,407313.77,26944.09,192039.27,149924.62,452809.53,115994.49,379857.69,132755.02,186671.73,517554.25,98099.29,94838.04,205652.24,323231.44,136538.07,121407.9,220860.68,144929.78,166781.45,177506.83,448250.95,142461.74,199212.56
4,13518.26,79441.13,405491.42,12449.72,0.0,179267.58,16204.1,133770.08,602505.08,636125.6,176150.93,335569.76,471838.98,336527.24,262078.47,134159.43,370677.29,181247.45,568775.99,432590.55,50835.07,639097.17,48510.06,634424.84,219295.83,423781.48,278145.72,413591.68,17825.61,183030.4,139414.64,460679.98,103474.26,380819.07,117058.16,176649.2,519985.95,87802.47,87068.43,192082.45,309194.55,126567.15,110936.45,181709.99,135051.68,157456.41,167498.02,456529.31,133010.21,189498.88
5,222406.38,108497.33,570087.2,189825.51,179267.58,0.0,171649.71,33428.57,726764.89,652768.42,4256.43,503853.33,637621.57,586395.39,417109.67,322326.17,531413.79,4428.17,755007.22,589585.06,160809.62,649418.14,161715.81,649811.89,395763.29,580956.72,447550.12,570686.83,248063.94,12315.21,21607.7,627358.15,345776.17,556871.79,369644.35,4781.79,705379.8,93123.55,78422.42,360514.95,562042.7,28807.6,39003.63,378114.46,36606.04,21177.29,3632.92,621303.07,39664.5,5897.95
6,30734.96,59783.77,403597.54,15166.89,16204.1,171649.71,0.0,120513.5,605158.93,635459.3,171936.52,337340.97,471220.02,389108.57,285659.05,144583.02,366679.43,173455.53,585145.36,428556.59,35691.99,638449.54,32645.16,633898.86,234392.74,419563.03,282557.64,410147.01,47166.05,178917.62,129112.12,460421.81,143085.92,389216.86,164523.95,169459.56,534151.11,67734.01,70193.07,199602.4,356069.55,114878.26,95104.22,213073.69,128590.87,153318.48,159407.44,455122.54,128224.52,184161.29
7,163729.15,98827.19,538907.13,137720.91,133770.08,33428.57,120513.5,0.0,701740.38,708942.74,22903.17,472220.08,606339.37,547798.99,399223.89,291186.48,502023.35,41533.42,717124.91,561595.98,146401.98,709166.27,148371.26,706826.4,367331.21,552531.85,418281.6,542122.43,195013.7,30264.18,29241.96,594610.88,290514.32,523727.23,299361.83,37231.77,665161.61,82655.12,63264.79,334830.29,507023.44,33530.32,43408.57,346732.04,18025.06,13571.95,33830.92,589240.38,15832.9,37721.15
8,561794.3,600023.09,218045.62,593453.18,602505.08,726764.89,605158.93,701740.38,0.0,59128.49,726826.55,279774.23,122798.49,173168.08,475829.43,456336.3,265004.49,727352.1,39584.71,213484.58,539789.2,66500.71,528240.6,68570.46,388645.01,220465.58,348395.68,225677.08,536338.23,730106.35,684972.54,142903.26,376365.42,218001.9,406738.03,722246.9,58291.46,611018.55,627073.62,432627.97,257359.93,669168.36,649867.17,400723.65,686065.47,709292.99,712996.71,155368.49,684075.0,736000.27
9,599203.85,553095.39,238842.37,628687.7,636125.6,652768.42,635459.3,708942.74,59128.49,0.0,706118.46,303779.39,168492.13,258055.14,478115.98,482997.87,273807.66,643594.96,125466.53,213658.04,479882.9,8866.27,440274.79,3260.6,411358.54,221181.29,362698.34,229072.9,574419.82,666774.37,592194.28,180608.36,506301.33,256666.87,493077.22,652865.67,165180.83,547031.27,545990.75,450640.47,380111.79,550926.33,547216.88,466721.2,605110.84,715685.07,624318.56,188619.28,577926.35,629105.48
10,219170.57,114107.28,573359.31,185767.45,176150.93,4256.43,171936.52,22903.17,726826.55,706118.46,0.0,506779.34,640864.24,586395.33,421688.09,325029.7,535023.21,9700.56,755177.1,593044.06,164559.62,705285.16,166401.24,703810.85,399444.46,584471.27,451235.38,574068.78,244699.56,11811.22,26817.23,629932.11,340459.84,559673.67,360669.18,9395.96,704053.75,97788.19,82937.53,364933.0,555015.16,35255.56,46717.45,379496.98,33579.13,10337.89,9910.22,624305.77,34890.82,8431.51
11,297121.57,359648.68,28859.91,331881.32,335569.76,503853.33,337340.97,472220.08,279774.23,303779.39,506779.34,0.0,116717.48,98521.93,205295.01,180016.45,16754.57,504770.72,258354.03,65951.21,294732.29,307251.23,284033.89,302509.54,83532.88,58448.22,41912.5,54960.21,265567.26,513570.67,457729.28,107343.33,207691.21,43231.11,208650.17,500981.72,223705.39,372523.48,396096.18,125393.91,237284.38,440809.15,415727.52,146330.32,461682.68,488245.63,490283.87,73085.79,461612.05,518445.89
12,434207.15,493501.35,57636.46,465059.7,471838.98,637621.57,471220.02,606339.37,122798.49,168492.13,640864.24,116717.48,0.0,93348.01,296649.02,318475.18,83701.53,638420.14,118806.12,37325.13,427301.36,176339.31,416796.35,169517.52,241328.99,43438.84,177759.97,47329.34,408650.13,647391.45,591389.94,21610.44,279643.2,72840.38,282455.37,634660.59,101113.95,505457.57,529638.85,277709.09,215506.65,574523.23,548997.17,259122.63,595548.48,622412.38,624165.65,29187.82,595717.46,652328.37
13,295160.84,446202.58,63617.61,348867.62,336527.24,586395.39,389108.57,547798.99,173168.08,258055.14,586395.33,98521.93,93348.01,0.0,280091.35,251089.73,88712.7,587177.31,132916.33,110669.35,380013.68,259345.23,367832.24,259098.31,182648.82,107151.52,134986.88,117435.69,255307.02,591823.17,540741.79,98127.48,104260.86,51482.35,130911.78,582389.81,120074.46,458635.44,476677.15,219943.96,107135.72,523580.72,500583.93,158304.84,543437.48,566688.57,572144.05,81973.22,540609.37,598838.45
14,293213.61,298608.78,231736.17,302698.74,262078.47,417109.67,285659.05,399223.89,475829.43,478115.98,421688.09,205295.01,296649.02,280091.35,0.0,174050.8,216325.44,419214.04,451072.3,237751.4,259663.58,486614.84,255610.59,479432.17,145320.58,242385.91,142394.43,244835.77,277223.03,434564.05,379510.11,295693.51,259879.95,257944.55,235665.19,418719.23,407978.87,311272.7,336050.79,142558.69,342882.87,367731.24,341813.3,35641.5,381907.12,411309.47,408862.37,250717.63,387257.14,433669.58
15,118474.38,181202.66,248706.52,138823.93,134159.43,322326.17,144583.02,291186.48,456336.3,482997.87,325029.7,180016.45,318475.18,251089.73,174050.8,0.0,211166.75,323440.48,439825.05,269494.4,118850.92,486548.55,108408.63,481734.61,42950.76,261755.72,89563.48,253250.06,102746.58,332053.81,276804.8,308635.07,118237.45,240073.41,122255.81,319649.88,391804.97,193700.01,216029.87,29968.79,283395.51,260385.36,235925.61,109528.52,280149.76,306690.41,309117.53,303615.91,280272.88,336693.47
16,336078.62,387123.64,16948.88,364046.95,370677.29,531413.79,366679.43,502023.35,265004.49,273807.66,535023.21,16754.57,83701.53,88712.7,216325.44,211166.75,0.0,532320.92,252656.1,39961.91,322392.65,276668.31,312273.1,272356.4,117958.37,34154.04,59935.43,33604.8,312355.4,542074.62,485434.68,67818.21,260588.57,42609.03,252796.58,528837.82,215584.99,400090.44,424445.25,155366.73,255112.48,468718.03,442895.92,177147.79,489733.99,516982.97,518118.66,37590.58,490693.67,546406.09
