,label1,label2,distance,sampleSize
clusters 1,5.0,17.0,15637.253524896934,2.0
clusters 2,3.0,4.0,53593.75654180529,2.0
clusters 3,10.0,20.0,67753.18620448488,3.0
clusters 4,6.0,21.0,72607.82746109678,3.0
clusters 5,11.0,16.0,115805.56873195391,2.0
clusters 6,2.0,19.0,119282.06058465791,2.0
clusters 7,8.0,18.0,131579.85030648616,2.0
clusters 8,7.0,22.0,174550.47649088816,4.0
clusters 9,0.0,23.0,190274.15209511566,4.0
clusters 10,13.0,25.0,266184.7064256566,3.0
clusters 11,9.0,26.0,319342.74671837356,3.0
clusters 12,12.0,29.0,332473.6324548843,4.0
clusters 13,1.0,28.0,361829.49293156905,5.0
clusters 14,14.0,15.0,459354.4058541111,2.0
clusters 15,24.0,31.0,534787.2436652193,6.0
clusters 16,27.0,32.0,852861.2043644317,9.0
clusters 17,30.0,34.0,1053780.5599625718,9.0
clusters 18,33.0,35.0,1336744.5990865538,11.0
clusters 19,36.0,37.0,2299295.0342093697,20.0
