,label1,label2,distance,sampleSize
clusters 1,126.0,282.0,22505.421686986967,2.0
clusters 2,96.0,299.0,22634.32027700196,2.0
clusters 3,73.0,228.0,27076.227703300927,2.0
clusters 4,275.0,306.0,27620.437163079092,2.0
clusters 5,54.0,68.0,28136.667244844404,2.0
clusters 6,116.0,239.0,29206.49040388287,2.0
clusters 7,269.0,289.0,32628.315194294042,2.0
clusters 8,85.0,138.0,34549.182535951564,2.0
clusters 9,87.0,183.0,34770.74698161659,2.0
clusters 10,111.0,302.0,35682.54997317036,2.0
clusters 11,41.0,311.0,36795.6571964614,2.0
clusters 12,82.0,294.0,37930.35023084545,2.0
clusters 13,329.0,333.0,44073.68315496795,4.0
clusters 14,15.0,137.0,45167.00705426919,2.0
clusters 15,128.0,215.0,46418.32621573403,2.0
clusters 16,237.0,331.0,48138.0466235555,3.0
clusters 17,182.0,335.0,48837.83056467806,3.0
clusters 18,5.0,17.0,48975.42849574267,2.0
clusters 19,159.0,172.0,51102.90095030909,2.0
clusters 20,30.0,262.0,57293.77341278715,2.0
clusters 21,44.0,272.0,57734.77762775482,2.0
clusters 22,186.0,291.0,58330.90967233319,2.0
clusters 23,59.0,155.0,59198.96887894249,2.0
clusters 24,196.0,248.0,61606.63037436145,2.0
clusters 25,48.0,332.0,63627.8419381083,3.0
clusters 26,141.0,330.0,65561.44678495282,3.0
clusters 27,79.0,241.0,66612.17414179709,2.0
clusters 28,10.0,188.0,68269.73471102548,2.0
clusters 29,45.0,284.0,70816.03093974273,2.0
clusters 30,100.0,246.0,71733.31532086605,2.0
clusters 31,35.0,346.0,72740.52391269461,3.0
clusters 32,162.0,344.0,73030.41229306461,4.0
clusters 33,229.0,348.0,73339.67044830305,3.0
clusters 34,84.0,313.0,74699.21335785538,2.0
clusters 35,57.0,199.0,75757.14043232492,2.0
clusters 36,67.0,336.0,78580.04903100598,3.0
clusters 37,225.0,276.0,80271.366841342,2.0
clusters 38,334.0,338.0,80661.54082013006,4.0
clusters 39,142.0,157.0,81387.85005548134,2.0
clusters 40,145.0,179.0,81638.0054230712,2.0
clusters 41,29.0,283.0,81818.83411184367,2.0
clusters 42,62.0,254.0,82498.63106078186,2.0
clusters 43,131.0,277.0,83318.32461999643,2.0
clusters 44,88.0,305.0,84135.44938205354,2.0
clusters 45,38.0,50.0,84578.71019500651,2.0
clusters 46,115.0,174.0,84600.62786905542,2.0
clusters 47,160.0,341.0,84626.66159165978,5.0
clusters 48,46.0,310.0,84642.95051987378,2.0
clusters 49,7.0,80.0,87447.91354257058,2.0
clusters 50,71.0,290.0,88541.85395458859,2.0
clusters 51,349.0,353.0,88761.23438978412,5.0
clusters 52,81.0,102.0,89297.46432493588,2.0
clusters 53,49.0,347.0,89544.50527949106,3.0
clusters 54,47.0,264.0,92777.16380801254,2.0
clusters 55,129.0,213.0,94410.26712240839,2.0
clusters 56,234.0,356.0,95192.68210270582,3.0
clusters 57,151.0,249.0,95547.32388207118,2.0
clusters 58,9.0,23.0,96275.04480595948,2.0
clusters 59,56.0,342.0,96734.72159435826,3.0
clusters 60,144.0,309.0,97823.07265515842,2.0
clusters 61,337.0,361.0,99239.41932093565,5.0
clusters 62,203.0,207.0,100971.44044473466,2.0
clusters 63,39.0,119.0,101529.1944540471,2.0
clusters 64,99.0,292.0,101543.97565226602,2.0
clusters 65,132.0,189.0,101673.50974837942,2.0
clusters 66,63.0,133.0,102736.4428453068,2.0
clusters 67,93.0,359.0,102919.36656653498,4.0
clusters 68,231.0,252.0,103259.30934750043,2.0
clusters 69,108.0,296.0,106926.37684396311,2.0
clusters 70,97.0,366.0,110467.64698828611,5.0
clusters 71,201.0,266.0,111290.56109739946,2.0
clusters 72,3.0,304.0,113262.94878250742,2.0
clusters 73,33.0,212.0,113627.93449442442,2.0
clusters 74,16.0,77.0,114680.31706553134,2.0
clusters 75,27.0,300.0,117391.93670713762,2.0
clusters 76,354.0,369.0,119762.29639394612,5.0
clusters 77,21.0,51.0,120169.16587548901,2.0
clusters 78,147.0,373.0,120264.9456629815,3.0
clusters 79,6.0,319.0,120965.30000454467,2.0
clusters 80,214.0,372.0,121389.44880697208,3.0
clusters 81,19.0,163.0,121533.17656857206,2.0
clusters 82,168.0,222.0,122118.27079632228,2.0
clusters 83,208.0,364.0,122834.43546664917,4.0
clusters 84,235.0,352.0,125892.01586538395,3.0
clusters 85,72.0,355.0,126611.54636907014,3.0
clusters 86,139.0,308.0,128171.44400094004,2.0
clusters 87,20.0,165.0,128320.16577201537,2.0
clusters 88,320.0,394.0,129300.97295195768,3.0
clusters 89,11.0,316.0,129553.23746923693,2.0
clusters 90,134.0,232.0,129886.81343322532,2.0
clusters 91,125.0,279.0,130358.27696259452,2.0
clusters 92,76.0,365.0,131543.5620588769,3.0
clusters 93,295.0,360.0,131617.93632357667,5.0
clusters 94,244.0,343.0,131851.41827600234,3.0
clusters 95,327.0,384.0,132199.11107956019,4.0
clusters 96,103.0,221.0,133555.39325424415,2.0
clusters 97,18.0,202.0,133661.72545121325,2.0
clusters 98,236.0,258.0,135157.7929671664,2.0
clusters 99,381.0,404.0,135945.90099248744,8.0
clusters 100,340.0,385.0,146440.79975578902,4.0
clusters 101,169.0,223.0,148328.78821412078,2.0
clusters 102,395.0,398.0,148916.66613186355,9.0
clusters 103,136.0,324.0,152735.7947224098,2.0
clusters 104,1.0,158.0,153558.06649960435,2.0
clusters 105,379.0,389.0,153925.25551441032,10.0
clusters 106,278.0,370.0,154174.56174293702,3.0
clusters 107,149.0,218.0,156442.66034042215,2.0
clusters 108,204.0,407.0,156681.89832951353,3.0
clusters 109,70.0,256.0,158993.51880382295,2.0
clusters 110,205.0,280.0,160566.15779792386,2.0
clusters 111,312.0,396.0,162629.52077871098,3.0
clusters 112,175.0,198.0,165449.82401062534,2.0
clusters 113,66.0,388.0,166311.4278448682,3.0
clusters 114,265.0,417.0,168053.53385511055,3.0
clusters 115,83.0,178.0,169015.6079462346,2.0
clusters 116,194.0,423.0,169365.64029625963,5.0
clusters 117,345.0,399.0,169927.84159475923,5.0
clusters 118,181.0,191.0,170492.93058764137,2.0
clusters 119,94.0,285.0,172128.305096758,2.0
clusters 120,411.0,420.0,173460.99862363382,7.0
clusters 121,206.0,383.0,173728.15982977572,3.0
clusters 122,64.0,387.0,176825.86934522336,4.0
clusters 123,60.0,350.0,179687.17195396338,3.0
clusters 124,95.0,400.0,180327.08448315022,3.0
clusters 125,22.0,390.0,180898.2211063699,3.0
clusters 126,326.0,368.0,183712.32589935983,3.0
clusters 127,242.0,270.0,184258.90709572713,2.0
clusters 128,180.0,357.0,185134.74972438777,3.0
clusters 129,74.0,114.0,186992.08387391723,2.0
clusters 130,224.0,307.0,187028.23775975543,2.0
clusters 131,424.0,434.0,189487.85449177946,5.0
clusters 132,227.0,363.0,190144.2045943081,3.0
clusters 133,92.0,261.0,193074.9079044465,2.0
clusters 134,177.0,250.0,193540.60790792774,2.0
clusters 135,156.0,243.0,196192.11838235756,2.0
clusters 136,245.0,371.0,199189.7082218733,3.0
clusters 137,393.0,429.0,199305.19956856524,4.0
clusters 138,192.0,220.0,200444.05264330862,2.0
clusters 139,367.0,428.0,208399.2613094291,6.0
clusters 140,153.0,209.0,208481.1763536876,2.0
clusters 141,24.0,135.0,208657.88523852485,2.0
clusters 142,110.0,339.0,209017.08388233848,3.0
clusters 143,216.0,321.0,210337.96720719896,2.0
clusters 144,42.0,416.0,212103.52765020556,4.0
clusters 145,166.0,298.0,215853.00105061504,2.0
clusters 146,143.0,148.0,217216.80748542343,2.0
clusters 147,406.0,414.0,218784.9020135679,5.0
clusters 148,247.0,323.0,219375.3910400634,2.0
clusters 149,303.0,410.0,219550.27202021613,3.0
clusters 150,89.0,101.0,220476.72095537666,2.0
clusters 151,170.0,253.0,222115.85613816607,2.0
clusters 152,376.0,445.0,222907.57264946308,7.0
clusters 153,375.0,408.0,224007.12993580717,8.0
clusters 154,378.0,465.0,224728.47161544283,6.0
clusters 155,105.0,161.0,227532.16310772198,2.0
clusters 156,386.0,405.0,228239.30133626485,4.0
clusters 157,0.0,187.0,230969.756856519,2.0
clusters 158,78.0,448.0,231259.2811091916,8.0
clusters 159,12.0,451.0,237704.17646777575,4.0
clusters 160,58.0,211.0,237712.8948015843,2.0
clusters 161,421.0,433.0,239601.0320209919,15.0
clusters 162,233.0,325.0,242417.38735348778,2.0
clusters 163,2.0,176.0,243316.3992959412,2.0
clusters 164,422.0,481.0,244084.57603091805,11.0
clusters 165,267.0,358.0,245045.05265074433,3.0
clusters 166,25.0,403.0,245085.5714571178,3.0
clusters 167,271.0,456.0,246682.34566407933,4.0
clusters 168,230.0,380.0,247699.2968212229,3.0
clusters 169,52.0,164.0,247847.5742105226,2.0
clusters 170,117.0,274.0,247881.63113244844,2.0
clusters 171,37.0,61.0,253380.75404738425,2.0
clusters 172,86.0,193.0,253848.66680509128,2.0
clusters 173,4.0,452.0,256035.04096191927,4.0
clusters 174,439.0,476.0,257541.81663997658,5.0
clusters 175,238.0,240.0,261922.97907905345,2.0
clusters 176,413.0,459.0,263424.70455395494,8.0
clusters 177,140.0,402.0,263886.77689863584,3.0
clusters 178,351.0,397.0,270708.00656942686,4.0
clusters 179,173.0,185.0,272200.43623083754,2.0
clusters 180,427.0,430.0,272856.27211682143,17.0
clusters 181,362.0,504.0,280236.1804518831,10.0
clusters 182,441.0,496.0,286511.6304794275,6.0
clusters 183,412.0,480.0,287680.5895421013,10.0
clusters 184,374.0,418.0,289196.17212122347,4.0
clusters 185,382.0,392.0,289721.32423878735,4.0
clusters 186,90.0,150.0,294206.52286071755,2.0
clusters 187,425.0,490.0,294663.30819415534,4.0
clusters 188,200.0,259.0,301656.8997768085,2.0
clusters 189,123.0,197.0,306663.9549607136,2.0
clusters 190,288.0,455.0,315678.9763133351,3.0
clusters 191,219.0,431.0,318115.2846794885,3.0
clusters 192,195.0,446.0,320398.512707109,3.0
clusters 193,31.0,487.0,322153.90219538705,5.0
clusters 194,458.0,486.0,326681.0215652991,10.0
clusters 195,440.0,482.0,327010.53156738525,8.0
clusters 196,127.0,432.0,330683.0941346508,3.0
clusters 197,477.0,502.0,339769.14222037396,8.0
clusters 198,391.0,461.0,343517.434061338,4.0
clusters 199,401.0,464.0,345217.7815193424,5.0
clusters 200,13.0,55.0,350477.3542073474,2.0
clusters 201,297.0,449.0,350486.31572005554,4.0
clusters 202,210.0,450.0,352675.00212228164,5.0
clusters 203,184.0,260.0,357553.8170547116,2.0
clusters 204,36.0,171.0,366305.2770253396,2.0
clusters 205,318.0,322.0,367887.0651614756,2.0
clusters 206,444.0,508.0,372964.78119887447,22.0
clusters 207,293.0,525.0,375749.6086013292,9.0
clusters 208,113.0,447.0,384284.1212394859,3.0
clusters 209,65.0,454.0,387462.60632023314,4.0
clusters 210,122.0,518.0,396217.50036739325,4.0
clusters 211,112.0,118.0,399659.56871767907,2.0
clusters 212,43.0,286.0,399682.01160520833,2.0
clusters 213,69.0,268.0,400264.3861821079,2.0
clusters 214,8.0,473.0,400612.4448746379,3.0
clusters 215,32.0,34.0,402822.0620950088,2.0
clusters 216,453.0,529.0,412426.0073215646,7.0
clusters 217,419.0,460.0,413361.0107251204,5.0
clusters 218,14.0,190.0,418019.7751583114,2.0
clusters 219,472.0,512.0,418933.69324955903,8.0
clusters 220,109.0,315.0,419313.848067076,2.0
clusters 221,467.0,511.0,421529.46655350196,16.0
clusters 222,436.0,493.0,432624.1587381668,6.0
clusters 223,120.0,146.0,436219.836012271,2.0
clusters 224,377.0,479.0,439549.8121432058,4.0
clusters 225,251.0,521.0,449940.526210998,6.0
clusters 226,438.0,463.0,456587.15604697686,4.0
clusters 227,470.0,489.0,456861.9384923474,18.0
clusters 228,475.0,499.0,457203.6879856371,7.0
clusters 229,442.0,509.0,466661.06679420325,13.0
clusters 230,26.0,523.0,469678.2275363388,9.0
